Linux 3.10.0-1160.45.1.el7.x86_64 (e5-cse-ladon.cse.psu.edu) 	01/01/2022 	_x86_64_	(48 CPU)

01:15:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:04 PM      16      0.00      0.00      2.00      0.00      0.00     98.00
01:20:04 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      27     39.00      0.00     61.00      0.00      0.00      0.00
01:20:04 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      36     36.00      0.00     64.00      0.00      0.00      0.00
01:20:04 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      45      1.00      0.00      0.00      0.00      0.00     99.00
01:20:04 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
01:20:04 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

01:20:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:05 PM     all      1.71      0.00      2.46      0.00      0.00     95.83
01:20:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      27     43.00      0.00     57.00      0.00      0.00      0.00
01:20:05 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      36     39.60      0.00     60.40      0.00      0.00      0.00
01:20:05 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      45      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
01:20:05 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

01:20:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:06 PM     all      1.60      0.00      2.65      0.00      0.00     95.75
01:20:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      16      1.00      0.00      2.00      0.00      0.00     97.00
01:20:06 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      27     39.00      0.00     61.00      0.00      0.00      0.00
01:20:06 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      36     36.36      0.00     63.64      0.00      0.00      0.00
01:20:06 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      45      1.00      0.00      0.00      0.00      0.00     99.00
01:20:06 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
01:20:06 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

01:20:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:07 PM     all      1.73      0.00      2.50      0.00      0.00     95.77
01:20:07 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM       8      0.00      0.00      0.00      1.00      0.00     99.00
01:20:07 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      16      1.00      0.00      1.00      0.00      0.00     98.00
01:20:07 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      27     40.40      0.00     59.60      0.00      0.00      0.00
01:20:07 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
01:20:07 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
